Date;Bioethanol production
1990-01-15;49
1990-02-15;49
1990-03-15;49
1990-04-15;49
1990-05-15;49
1990-06-15;49
1990-07-15;49
1990-08-15;49
1990-09-15;49
1990-10-15;49
1990-11-15;49
1990-12-15;49
1991-01-15;57
1991-02-15;57
1991-03-15;57
1991-04-15;57
1991-05-15;57
1991-06-15;57
1991-07-15;57
1991-08-15;57
1991-09-15;57
1991-10-15;57
1991-11-15;57
1991-12-15;57
1992-01-15;78
1992-02-15;71
1992-03-15;68
1992-04-15;68
1992-05-15;68
1992-06-15;66
1992-07-15;66
1992-08-15;70
1992-09-15;67
1992-10-15;74
1992-11-15;74
1992-12-15;75
1993-01-15;77
1993-02-15;73
1993-03-15;78
1993-04-15;77
1993-05-15;76
1993-06-15;76
1993-07-15;73
1993-08-15;63
1993-09-15;71
1993-10-15;76
1993-11-15;81
1993-12-15;84
1994-01-15;87
1994-02-15;77
1994-03-15;83
1994-04-15;72
1994-05-15;79
1994-06-15;77
1994-07-15;77
1994-08-15;80
1994-09-15;96
1994-10-15;85
1994-11-15;96
1994-12-15;98
1995-01-15;97
1995-02-15;98
1995-03-15;96
1995-04-15;96
1995-05-15;91
1995-06-15;89
1995-07-15;81
1995-08-15;77
1995-09-15;82
1995-10-15;84
1995-11-15;82
1995-12-15;91
1996-01-15;85
1996-02-15;73
1996-03-15;75
1996-04-15;66
1996-05-15;48
1996-06-15;37
1996-07-15;40
1996-08-15;48
1996-09-15;53
1996-10-15;79
1996-11-15;77
1996-12-15;79
1997-01-15;77
1997-02-15;82
1997-03-15;85
1997-04-15;78
1997-05-15;96
1997-06-15;74
1997-07-15;89
1997-08-15;66
1997-09-15;85
1997-10-15;95
1997-11-15;82
1997-12-15;101
1998-01-15;104
1998-02-15;83
1998-03-15;82
1998-04-15;96
1998-05-15;79
1998-06-15;88
1998-07-15;83
1998-08-15;87
1998-09-15;95
1998-10-15;94
1998-11-15;98
1998-12-15;111
1999-01-15;102
1999-02-15;91
1999-03-15;94
1999-04-15;106
1999-05-15;93
1999-06-15;79
1999-07-15;76
1999-08-15;91
1999-09-15;99
1999-10-15;103
1999-11-15;100
1999-12-15;112
2000-01-15;103
2000-02-15;104
2000-03-15;104
2000-04-15;110
2000-05-15;107
2000-06-15;98
2000-07-15;106
2000-08-15;94
2000-09-15;103
2000-10-15;111
2000-11-15;110
2000-12-15;115
2001-01-15;115
2001-02-15;116
2001-03-15;113
2001-04-15;108
2001-05-15;108
2001-06-15;110
2001-07-15;112
2001-08-15;113
2001-09-15;116
2001-10-15;121
2001-11-15;126
2001-12-15;124
2002-01-15;135
2002-02-15;122
2002-03-15;128
2002-04-15;126
2002-05-15;129
2002-06-15;124
2002-07-15;128
2002-08-15;136
2002-09-15;145
2002-10-15;159
2002-11-15;166
2002-12-15;176
2003-01-15;177
2003-02-15;169
2003-03-15;175
2003-04-15;179
2003-05-15;175
2003-06-15;181
2003-07-15;178
2003-08-15;180
2003-09-15;190
2003-10-15;188
2003-11-15;194
2003-12-15;207
2004-01-15;211
2004-02-15;212
2004-03-15;214
2004-04-15;218
2004-05-15;221
2004-06-15;222
2004-07-15;218
2004-08-15;225
2004-09-15;226
2004-10-15;226
2004-11-15;232
2004-12-15;233
2005-01-15;241
2005-02-15;245
2005-03-15;243
2005-04-15;238
2005-05-15;237
2005-06-15;249
2005-07-15;258
2005-08-15;260
2005-09-15;261
2005-10-15;269
2005-11-15;275
2005-12-15;280
2006-01-15;288
2006-02-15;302
2006-03-15;301
2006-04-15;289
2006-05-15;293
2006-06-15;318
2006-07-15;316
2006-08-15;330
2006-09-15;336
2006-10-15;339
2006-11-15;348
2006-12-15;362
2007-01-15;375
2007-02-15;386
2007-03-15;384
2007-04-15;391
2007-05-15;406
2007-06-15;418
2007-07-15;422
2007-08-15;438
2007-09-15;447
2007-10-15;459
2007-11-15;486
2007-12-15;492
2008-01-15;518
2008-02-15;535
2008-03-15;565
2008-04-15;572
2008-05-15;605
2008-06-15;588
2008-07-15;614
2008-08-15;647
2008-09-15;645
2008-10-15;647
2008-11-15;671
2008-12-15;656
2009-01-15;631
2009-02-15;652
2009-03-15;649
2009-04-15;646
2009-05-15;678
2009-06-15;704
2009-07-15;738
2009-08-15;746
2009-09-15;741
2009-10-15;757
2009-11-15;804
2009-12-15;811
2010-01-15;827
2010-02-15;850
2010-03-15;854
2010-04-15;846
2010-05-15;847
2010-06-15;854
2010-07-15;858
2010-08-15;870
2010-09-15;874
2010-10-15;886
2010-11-15;925
2010-12-15;918
2011-01-15;918
2011-02-15;904
2011-03-15;909
2011-04-15;885
2011-05-15;894
2011-06-15;907
2011-07-15;888
2011-08-15;902
2011-09-15;886
2011-10-15;904
2011-11-15;946
2011-12-15;959
2012-01-15;937
2012-02-15;919
2012-03-15;889
2012-04-15;878
2012-05-15;891
2012-06-15;884
2012-07-15;814
2012-08-15;842
2012-09-15;813
2012-10-15;806
2012-11-15;825
2012-12-15;825
2013-01-15;799
2013-02-15;803
2013-03-15;826
2013-04-15;853
2013-05-15;877
2013-06-15;891
2013-07-15;868
2013-08-15;848
2013-09-15;852
