Date;U.S. Oxygenate Plant Production of Fuel Ethanol (Thousand Barrels per Day)
Jan-2002;135
Feb-2002;122
Mar-2002;128
Apr-2002;126
May-2002;129
Jun-2002;124
Jul-2002;128
Aug-2002;136
Sep-2002;145
Oct-2002;159
Nov-2002;166
Dec-2002;176
Jan-2003;177
Feb-2003;169
Mar-2003;175
Apr-2003;179
May-2003;175
Jun-2003;181
Jul-2003;178
Aug-2003;180
Sep-2003;190
Oct-2003;188
Nov-2003;194
Dec-2003;207
Jan-2004;211
Feb-2004;212
Mar-2004;214
Apr-2004;218
May-2004;221
Jun-2004;222
Jul-2004;218
Aug-2004;225
Sep-2004;226
Oct-2004;226
Nov-2004;232
Dec-2004;233
Jan-2005;241
Feb-2005;245
Mar-2005;243
Apr-2005;238
May-2005;237
Jun-2005;249
Jul-2005;258
Aug-2005;260
Sep-2005;261
Oct-2005;269
Nov-2005;275
Dec-2005;280
Jan-2006;288
Feb-2006;302
Mar-2006;301
Apr-2006;289
May-2006;293
Jun-2006;318
Jul-2006;316
Aug-2006;330
Sep-2006;336
Oct-2006;339
Nov-2006;348
Dec-2006;362
Jan-2007;375
Feb-2007;386
Mar-2007;384
Apr-2007;391
May-2007;406
Jun-2007;418
Jul-2007;422
Aug-2007;438
Sep-2007;447
Oct-2007;459
Nov-2007;486
Dec-2007;492
Jan-2008;518
Feb-2008;535
Mar-2008;565
Apr-2008;572
May-2008;605
Jun-2008;588
Jul-2008;614
Aug-2008;647
Sep-2008;645
Oct-2008;647
Nov-2008;671
Dec-2008;656
Jan-2009;631
Feb-2009;652
Mar-2009;649
Apr-2009;646
May-2009;678
Jun-2009;704
Jul-2009;738
Aug-2009;746
Sep-2009;741
Oct-2009;757
Nov-2009;804
Dec-2009;811
Jan-2010;827
Feb-2010;850
Mar-2010;854
Apr-2010;846
May-2010;847
Jun-2010;854
Jul-2010;858
Aug-2010;870
Sep-2010;874
Oct-2010;886
Nov-2010;925
Dec-2010;918
Jan-2011;918
Feb-2011;904
Mar-2011;909
Apr-2011;885
May-2011;894
Jun-2011;907
Jul-2011;888
Aug-2011;902
Sep-2011;886
Oct-2011;904
Nov-2011;946
Dec-2011;959
Jan-2012;937
Feb-2012;919
Mar-2012;889
Apr-2012;878
May-2012;891
Jun-2012;884
Jul-2012;814
Aug-2012;842
Sep-2012;813
Oct-2012;806
Nov-2012;825
Dec-2012;825
Jan-2013;799
Feb-2013;803
Mar-2013;826
Apr-2013;853
May-2013;877
Jun-2013;891
Jul-2013;868
Aug-2013;848
Sep-2013;852
Oct-2013;903
Nov-2013;931
Dec-2013;949
Jan-2014;909
Feb-2014;902
Mar-2014;907
Apr-2014;924
May-2014;932
Jun-2014;954
Jul-2014;949
Aug-2014;925
Sep-2014;927
Oct-2014;924
Nov-2014;953
Dec-2014;995
Jan-2015;960
Feb-2015;958
Mar-2015;951
Apr-2015;930
May-2015;957
Jun-2015;989
Jul-2015;976
Aug-2015;960
Sep-2015;952
Oct-2015;964
Nov-2015;989
Dec-2015;1003
Jan-2016;982
Feb-2016;993
Mar-2016;999
Apr-2016;940
May-2016;979
Jun-2016;1015
Jul-2016;1015
Aug-2016;1028
Sep-2016;1002
Oct-2016;1000
Nov-2016;1024
Dec-2016;1054
Jan-2017;1061
Feb-2017;1047
Mar-2017;1045
Apr-2017;988
May-2017;1028
Jun-2017;1026
Jul-2017;1012
Aug-2017;1054
Sep-2017;1023
Oct-2017;1039
Nov-2017;1088
Dec-2017;1063
Jan-2018;1051
Feb-2018;1060
Mar-2018;1045
Apr-2018;1023
May-2018;1045
Jun-2018;1064
Jul-2018;1078
Aug-2018;1089
Sep-2018;1022
Oct-2018;1044
Nov-2018;1051
Dec-2018;1024
Jan-2019;1019
Feb-2019;1021
Mar-2019;996
Apr-2019;1033
May-2019;1047
Jun-2019;1063
Jul-2019;1050
Aug-2019;1030
Sep-2019;974
Oct-2019;998
Nov-2019;1045
Dec-2019;1073
Jan-2020;1076
Feb-2020;1052
Mar-2020;949
Apr-2020;567
May-2020;682
Jun-2020;865
Jul-2020;926
Aug-2020;917
Sep-2020;926
Oct-2020;955
Nov-2020;997
Dec-2020;971
Jan-2021;929
Feb-2021;818
Mar-2021;946
Apr-2021;940
May-2021;1007
Jun-2021;1021
Jul-2021;1014
Aug-2021;938
Sep-2021;936
Oct-2021;1041
Nov-2021;1079
Dec-2021;1069
Jan-2022;1038
Feb-2022;1011
Mar-2022;1019
Apr-2022;965
May-2022;1008
Jun-2022;1043
Jul-2022;1016
Aug-2022;985
Sep-2022;902
Oct-2022;1014
Nov-2022;1053
Dec-2022;969
Jan-2023;1002
Feb-2023;999
Mar-2023;987
Apr-2023;972
May-2023;994
Jun-2023;1036
Jul-2023;1033
Aug-2023;1004
Sep-2023;1003
Oct-2023;1028
Nov-2023;1053
Dec-2023;1082
Jan-2024;995
Feb-2024;1074
Mar-2024;1069
Apr-2024;982
May-2024;1025
Jun-2024;1043
Jul-2024;1091
Aug-2024;1081
Sep-2024;1041
Oct-2024;1050
Nov-2024;1113
Dec-2024;1103
Jan-2025;1084
Feb-2025;1084
Mar-2025;1054
Apr-2025;1022
May-2025;1035
Jun-2025;1077
Jul-2025;1079
Aug-2025;1080
Sep-2025;1050
;
