date,cdd,cwd,pr
1950-01-01,3.88,16.84,220.98
1950-02-01,3.11,21.3,207.28
1950-03-01,2.52,23.25,259.73
1950-04-01,3.57,20.6,199.85
1950-05-01,8.53,16.31,124.91
1950-06-01,14.48,8.01,68.82
1950-07-01,18.82,5.97,46.69
1950-08-01,20.75,4.3,35.46
1950-09-01,20.13,4.86,64.23
1950-10-01,11.89,7.79,124.21
1950-11-01,9.4,14.59,174.49
1950-12-01,7.6,15.88,189.81
1951-01-01,3.43,17.28,221.78
1951-02-01,3.65,18.99,175.73
1951-03-01,3.87,21.38,241.92
1951-04-01,5.73,19.62,170.11
1951-05-01,7.42,14.3,123.33
1951-06-01,16.52,8.95,59.08
1951-07-01,19.69,6.27,43.75
1951-08-01,21.1,4.91,41.21
1951-09-01,16.56,4.56,50.48
1951-10-01,13.93,8.61,121.71
1951-11-01,10.94,9.95,108.36
1951-12-01,9.05,15.86,206.27
1952-01-01,3.13,18.75,249.44
1952-02-01,3.37,21.1,250.51
1952-03-01,3.75,22.3,255.37
1952-04-01,4.72,18.9,189.93
1952-05-01,11.9,14.07,117.21
1952-06-01,15.62,7.58,59.47
1952-07-01,18.86,6.14,50.47
1952-08-01,18.26,6.54,48.24
1952-09-01,16.8,6.73,58.07
1952-10-01,13.98,8.41,106.03
1952-11-01,7.25,16.08,179.54
1952-12-01,5.62,20.53,242.82
1953-01-01,4.11,17.21,209.84
1953-02-01,3.55,20.15,230.65
1953-03-01,3.26,21.07,238.77
1953-04-01,5.04,18.77,188.22
1953-05-01,8.72,14.39,115.96
1953-06-01,16.36,7.63,66.15
1953-07-01,18.56,6.8,50.64
1953-08-01,20.86,5.51,43.34
1953-09-01,13.86,7.52,99.24
1953-10-01,9.01,10.04,138.76
1953-11-01,7.96,14.05,176.04
1953-12-01,6.16,17.97,230.9
1954-01-01,5.88,14.9,192.08
1954-02-01,3.3,20.69,237.18
1954-03-01,3.51,21.89,249.53
1954-04-01,6.32,21.64,176.4
1954-05-01,9.9,13.6,119.62
1954-06-01,13.98,9.52,72.21
1954-07-01,18.28,5.91,44.04
1954-08-01,20.92,4.31,33.79
1954-09-01,19.35,4.68,50.26
1954-10-01,13.62,8.51,102.01
1954-11-01,7.67,15.4,185.59
1954-12-01,5.7,16.05,169.94
1955-01-01,5.4,15.6,219.08
1955-02-01,4.17,16.47,184.34
1955-03-01,4.48,20.07,218.64
1955-04-01,4.16,21.08,194.62
1955-05-01,11.68,13.48,112.25
1955-06-01,14.72,7.14,69.59
1955-07-01,18.96,5.74,47.95
1955-08-01,21.46,3.28,33.64
1955-09-01,18.81,4.3,47.57
1955-10-01,16.85,9.4,121.92
1955-11-01,7.15,12.98,162.89
1955-12-01,4.85,20.22,245.43
1956-01-01,5.75,14.09,185.07
1956-02-01,5.15,20.35,232.35
1956-03-01,3.01,22.15,239.82
1956-04-01,3.4,20.74,209.05
1956-05-01,8.18,17.98,143.03
1956-06-01,10.32,10.36,86.66
1956-07-01,13.83,8.65,66.92
1956-08-01,15.76,6.44,59.7
1956-09-01,15.8,6.8,69.88
1956-10-01,10.11,12.64,125.94
1956-11-01,6.09,17.19,186.2
1956-12-01,4.95,18.64,224.8
1957-01-01,2.76,19.16,271.54
1957-02-01,3.93,20.87,216.46
1957-03-01,2.84,21.7,249.61
1957-04-01,3.84,20.63,220.25
1957-05-01,8.06,14.6,120.7
1957-06-01,17.43,7.81,63.0
1957-07-01,18.23,6.61,49.72
1957-08-01,19.37,2.96,36.52
1957-09-01,19.85,3.28,47.33
1957-10-01,14.27,5.52,78.9
1957-11-01,10.69,11.19,136.76
1957-12-01,5.71,14.88,187.89
1958-01-01,4.55,16.16,252.19
1958-02-01,4.32,16.79,204.11
1958-03-01,3.54,18.61,226.62
1958-04-01,5.31,17.65,205.2
1958-05-01,10.4,12.39,92.46
1958-06-01,19.18,4.49,39.95
1958-07-01,22.36,5.02,44.55
1958-08-01,22.3,3.38,31.73
1958-09-01,20.72,4.24,49.97
1958-10-01,14.34,8.3,110.68
1958-11-01,10.15,10.12,113.67
1958-12-01,8.02,14.69,213.41
1959-01-01,4.63,16.43,269.66
1959-02-01,4.36,17.13,208.11
1959-03-01,3.12,20.28,251.04
1959-04-01,5.65,18.4,163.22
1959-05-01,8.5,12.76,117.62
1959-06-01,12.43,10.87,95.45
1959-07-01,20.4,5.27,40.22
1959-08-01,19.6,3.89,48.22
1959-09-01,18.72,5.82,55.1
1959-10-01,11.97,7.44,107.35
1959-11-01,7.19,13.32,170.48
1959-12-01,6.09,15.26,184.83
1960-01-01,4.65,16.44,290.1
1960-02-01,5.18,20.77,262.06
1960-03-01,4.19,22.49,274.95
1960-04-01,5.42,20.83,192.31
1960-05-01,9.79,14.0,117.05
1960-06-01,16.89,6.97,66.49
1960-07-01,19.44,4.92,45.9
1960-08-01,17.41,4.76,49.33
1960-09-01,16.19,4.81,52.77
1960-10-01,11.73,8.62,122.51
1960-11-01,7.11,12.94,146.28
1960-12-01,6.93,17.91,199.06
1961-01-01,3.17,15.88,201.06
1961-02-01,3.33,17.11,181.89
1961-03-01,4.24,17.91,188.17
1961-04-01,5.02,14.35,157.23
1961-05-01,11.67,13.93,113.22
1961-06-01,17.96,8.09,60.12
1961-07-01,22.78,3.92,28.13
1961-08-01,25.54,2.21,16.88
1961-09-01,23.17,2.35,31.26
1961-10-01,20.31,5.33,71.05
