Date,Retail_Sales_nominal
1993-01-01,100210000000.0
1993-02-01,91540000000.0
1993-03-01,96640000000.0
1993-04-01,96490000000.0
1993-05-01,97660000000.0
1993-06-01,102080000000.0
1993-07-01,97840000000.0
1993-08-01,97450000000.0
1993-09-01,103910000000.0
1993-10-01,106700000000.0
1993-11-01,111910000000.0
1993-12-01,143780000000.0
1994-01-01,119220000000.0
1994-02-01,116290000000.0
1994-03-01,116700000000.0
1994-04-01,117000000000.0
1994-05-01,121400000000.0
1994-06-01,128100000000.0
1994-07-01,125200000000.0
1994-08-01,128600000000.0
1994-09-01,139600000000.0
1994-10-01,144400000000.0
1994-11-01,155400000000.0
1994-12-01,193220000000.0
1995-01-01,160220000000.0
1995-02-01,149150000000.0
1995-03-01,153330000000.0
1995-04-01,154870000000.0
1995-05-01,158540000000.0
1995-06-01,163970000000.0
1995-07-01,162360000000.0
1995-08-01,163710000000.0
1995-09-01,175600000000.0
1995-10-01,181800000000.0
1995-11-01,193520000000.0
1995-12-01,238950000000.0
1996-01-01,190910000000.0
1996-02-01,191120000000.0
1996-03-01,186010000000.0
1996-04-01,185480000000.0
1996-05-01,189830000000.0
1996-06-01,196600000000.0
1996-07-01,188870000000.0
1996-08-01,191640000000.0
1996-09-01,208350000000.0
1996-10-01,214830000000.0
1996-11-01,229010000000.0
1996-12-01,284860000000.0
1997-01-01,228850000000.0
1997-02-01,221350000000.0
1997-03-01,213090000000.0
1997-04-01,210050000000.0
1997-05-01,210820000000.0
1997-06-01,216470000000.0
1997-07-01,210250000000.0
1997-08-01,210440000000.0
1997-09-01,223960000000.0
1997-10-01,234800000000.0
1997-11-01,245490000000.0
1997-12-01,288170000000.0
1998-01-01,254950000000.0
1998-02-01,230640000000.0
1998-03-01,227970000000.0
1998-04-01,225270000000.0
1998-05-01,226520000000.0
1998-06-01,232600000000.0
1998-07-01,228610000000.0
1998-08-01,231460000000.0
1998-09-01,244310000000.0
1998-10-01,253600000000.0
1998-11-01,265220000000.00003
1998-12-01,313140000000.0
1999-01-01,266209999999.99997
1999-02-01,253840000000.0
1999-03-01,240310000000.0
1999-04-01,235680000000.0
1999-05-01,236400000000.0
1999-06-01,242880000000.0
1999-07-01,238030000000.0
1999-08-01,241090000000.0
1999-09-01,260430000000.0
1999-10-01,274390000000.0
1999-11-01,285910000000.0
1999-12-01,338300000000.0
2000-01-01,296290000000.0
2000-02-01,280490000000.0
2000-03-01,262600000000.00003
2000-04-01,257149999999.99997
2000-05-01,263690000000.0
2000-06-01,264519999999.99997
2000-07-01,259690000000.0
2000-08-01,263630000000.0
2000-09-01,285430000000.0
2000-10-01,302930000000.0
2000-11-01,310780000000.0
2000-12-01,368000000000.0
2001-01-01,333280000000.0
2001-02-01,304710000000.0
2001-03-01,287610000000.0
2001-04-01,282090000000.0
2001-05-01,292960000000.0
2001-06-01,290870000000.0
2001-07-01,285140000000.0
2001-08-01,288940000000.0
2001-09-01,313690000000.0
2001-10-01,334730000000.0
2001-11-01,342170000000.0
2001-12-01,403330000000.0
2002-01-01,355220000000.0
2002-02-01,341600000000.0
2002-03-01,319740000000.0
2002-04-01,316330000000.0
2002-05-01,332050000000.0
2002-06-01,330280000000.0
2002-07-01,324420000000.0
2002-08-01,328440000000.0
2002-09-01,362720000000.0
2002-10-01,381520000000.0
2002-11-01,383110000000.0
2002-12-01,427020000000.0
2003-01-01,408710000000.0
2003-02-01,385660000000.0
2003-03-01,364520000000.0
2003-04-01,353520000000.0
2003-05-01,353660000000.0
2003-06-01,373200000000.0
2003-07-01,371840000000.0
2003-08-01,376900000000.0
2003-09-01,413900000000.0
2003-10-01,436540000000.0
2003-11-01,435860000000.0
2003-12-01,485900000000.0
2004-01-01,475340000000.0
2004-02-01,432830000000.0
2004-03-01,421340000000.0
2004-04-01,415620000000.0
2004-05-01,434330000000.0
2004-06-01,437110000000.0
2004-07-01,437880000000.0
2004-08-01,448070000000.0
2004-09-01,471770000000.0
2004-10-01,498320000000.0
2004-11-01,496560000000.0
2004-12-01,556250000000.0
2005-01-01,530090000000.00006
2005-02-01,501220000000.0
2005-03-01,479910000000.0
2005-04-01,466330000000.0
2005-05-01,489920000000.0
2005-06-01,493500000000.0
2005-07-01,493490000000.0
2005-08-01,504080000000.0
2005-09-01,549520000000.0
2005-10-01,584660000000.0
2005-11-01,590900000000.0
2005-12-01,685040000000.0
2006-01-01,664160000000.0
2006-02-01,600190000000.0
2006-03-01,579670000000.0
2006-04-01,577460000000.0
2006-05-01,617560000000.0
2006-06-01,605780000000.0
2006-07-01,601220000000.0
2006-08-01,607740000000.0
2006-09-01,655360000000.0
2006-10-01,699770000000.0
2006-11-01,682170000000.0
2006-12-01,749920000000.0
2007-01-01,748830000000.0
2007-02-01,701370000000.0
2007-03-01,668580000000.0
2007-04-01,667250000000.0
2007-05-01,715750000000.0
2007-06-01,702600000000.0
2007-07-01,699820000000.0
2007-08-01,711660000000.0
2007-09-01,766840000000.0
2007-10-01,826300000000.0
2007-11-01,810470000000.0
2007-12-01,901530000000.0
2008-01-01,907730000000.0
2008-02-01,835470000000.0
2008-03-01,812320000000.0
2008-04-01,814200000000.0
2008-05-01,870350000000.0
2008-06-01,864200000000.0
2008-07-01,862880000000.0
2008-08-01,876770000000.0
2008-09-01,944650000000.0
2008-10-01,1008270000000.0
2008-11-01,979080000000.0
2008-12-01,1072850000000.0
2009-01-01,1075660000000.0
2009-02-01,932380000000.0
2009-03-01,931760000000.0
2009-04-01,934320000000.0
2009-05-01,1002840000000.0
2009-06-01,994160000000.0
2009-07-01,993650000000.0
2009-08-01,1011560000000.0
2009-09-01,1091280000000.0
2009-10-01,1171760000000.0
2009-11-01,1133900000000.0
2009-12-01,1261000000000.0
2010-01-01,1271810000000.0
2010-02-01,1233400000000.0
2010-03-01,1132100000000.0
2010-04-01,1151000000000.0
2010-05-01,1245500000000.0
2010-06-01,1233000000000.0
2010-07-01,1225300000000.0
2010-08-01,1257000000000.0
2010-09-01,1353700000000.0
2010-10-01,1428500000000.0
2010-11-01,1391100000000.0
2010-12-01,1533000000000.0
2011-01-01,1524900000000.0
2011-02-01,1376900000000.0
2011-03-01,1390400000000.0
2011-04-01,1364900000000.0
2011-05-01,1469700000000.0
2011-06-01,1456500000000.0
2011-07-01,1440800000000.0
2011-08-01,1470500000000.0
2011-09-01,1586500000000.0
2011-10-01,1654600000000.0
2011-11-01,1612900000000.0
2011-12-01,1773970000000.0
2012-01-01,1683400000000.0
2012-02-01,1683400000000.0
2012-03-01,1565000000000.0
2012-04-01,1560300000000.0
2012-05-01,1671500000000.0
2012-06-01,1658500000000.0
2012-07-01,1631500000000.0
2012-08-01,1665900000000.0
2012-09-01,1822700000000.0
2012-10-01,1893400000000.0
2012-11-01,1846800000000.0
2012-12-01,2033400000000.0
2013-01-01,1890500000000.0
2013-02-01,1890500000000.0
2013-03-01,1764100000000.0
2013-04-01,1760000000000.0
2013-05-01,1888600000000.0
2013-06-01,1882600000000.0
2013-07-01,1851300000000.0
2013-08-01,1888600000000.0
2013-09-01,2065300000000.0
2013-10-01,2149100000000.0
2013-11-01,2101200000000.0
2013-12-01,2306000000000.0
2014-01-01,2114100000000.0
2014-02-01,2114100000000.0
2014-03-01,1980100000000.0
2014-04-01,1970100000000.0
2014-05-01,2124980000000.0
2014-06-01,2116640000000.0
2014-07-01,2077580000000.0
2014-08-01,2113400000000.0
2014-09-01,2304200000000.0
2014-10-01,2396700000000.0
2014-11-01,2347500000000.0
2014-12-01,2580100000000.0
2015-01-01,2399700000000.0
2015-02-01,2399700000000.0
2015-03-01,2272300000000.0
2015-04-01,2238700000000.0
2015-05-01,2419500000000.0
2015-06-01,2428000000000.0
2015-07-01,2433900000000.0
2015-08-01,2489300000000.0
2015-09-01,2527100000000.0
2015-10-01,2827890000000.0
2015-11-01,2793700000000.0
2015-12-01,2863500000000.0
2016-01-01,2645500000000.0
2016-02-01,2645500000000.0
2016-03-01,2511400000000.0
2016-04-01,2464600000000.0
2016-05-01,2661100000000.0
2016-06-01,2685700000000.0
2016-07-01,2682700000000.0
2016-08-01,2754000000000.0
2016-09-01,2797600000000.0
2016-10-01,3111900000000.0
2016-11-01,3095900000000.0
2016-12-01,3175700000000.0
2017-01-01,2898000000000.0
2017-02-01,2898000000000.0
2017-03-01,2786400000000.0
2017-04-01,2727900000000.0
2017-05-01,2945900000000.0
2017-06-01,2980800000000.0
2017-07-01,2961000000000.0
2017-08-01,3033000000000.0
2017-09-01,3087000000000.0
2017-10-01,3424100000000.0
2017-11-01,3410800000000.0
2017-12-01,3473400000000.0
2018-01-01,3054100000000.0
2018-02-01,3054100000000.0
2018-03-01,2919400000000.0
2018-04-01,2854200000000.0
2018-05-01,3035900000000.0
2018-06-01,3084200000000.0
2018-07-01,3073400000000.0
2018-08-01,3154200000000.0
2018-09-01,3200500000000.0
2018-10-01,3553400000000.0
2018-11-01,3526000000000.0
2018-12-01,3589400000000.0
2019-01-01,3303200000000.0
2019-02-01,3303200000000.0
2019-03-01,3172600000000.0
2019-04-01,3058600000000.0
2019-05-01,3295600000000.0
2019-06-01,3387800000000.0
2019-07-01,3307300000000.0
2019-08-01,3389600000000.0
2019-09-01,3449500000000.0
2019-10-01,3810400000000.0
2019-11-01,3809400000000.0
2019-12-01,3877600000000.0
2020-01-01,2606500000000.0
2020-02-01,2606500000000.0
2020-03-01,2645000000000.0
2020-04-01,2817800000000.0
2020-05-01,3197300000000.0
2020-06-01,3352600000000.0
2020-07-01,3220300000000.0
2020-08-01,3357100000000.0
2020-09-01,3529500000000.0
2020-10-01,3857600000000.0
2020-11-01,3951400000000.0
2020-12-01,4056600000000.0
2021-01-01,3486800000000.0
2021-02-01,3486800000000.0
2021-03-01,3548400000000.0
2021-04-01,3315200000000.0
2021-05-01,3594500000000.0
2021-06-01,3758500000000.0
2021-07-01,3492500000000.0
2021-08-01,3439400000000.0
2021-09-01,3683300000000.0
2021-10-01,4045400000000.0
2021-11-01,4104300000000.0
2021-12-01,4126899999999.999
2022-01-01,3721300000000.0
2022-02-01,3721300000000.0
2022-03-01,3423300000000.0
2022-04-01,2948300000000.0
2022-05-01,3354700000000.0
2022-06-01,3874300000000.0
2022-07-01,3587000000000.0
2022-08-01,3625800000000.0
2022-09-01,3774500000000.0
2022-10-01,4027100000000.0
2022-11-01,3861500000000.0
2022-12-01,4054200000000.0
2023-01-01,3853400000000.0
2023-02-01,3853400000000.0
2023-03-01,3785500000000.0
2023-04-01,3491100000000.0
2023-05-01,3780300000000.0
2023-06-01,3995100000000.0
2023-07-01,3676000000000.0
2023-08-01,3793300000000.0
2023-09-01,3982600000000.0
2023-10-01,4333300000000.0
