index,PMAIZMTUSDM,PBEEFUSDM,PPORKUSDM,PLAMBUSDM,PPOULTUSDM,POILBREUSDM,fao_food_index,bioethanol_production,retail_china,fnbretail_USA,D0_USA,D1_USA,D2_USA,D3_USA,D4_USA,cdd_BR,precip_BR,enso_anomaly
2002-11-01,108.646429375,81.5625,40.6021052631579,154.96118289,61.9047619047619,24.2504761904762,56.6,166.0,383110.0,27058.0,13.67,13.34,10.76,10.09,0.74,7.33,140.41,1.41
2002-12-01,107.012648482143,84.0,43.672,157.93637975,61.4886363636364,28.3172727272727,56.0,176.0,427020.0,27440.0,11.42,9.53,12.85,10.44,0.84,5.91,218.97,1.31
2003-01-01,105.844256122449,85.35,46.5835,162.69020507,62.2536231884058,30.8086956521739,56.2,177.0,408710.0,27263.0,14.97,10.42,8.95,15.26,2.0,4.71,219.03,0.7
2003-02-01,106.141079960317,83.75,48.1642105263158,159.70433242,63.0625,32.6625,56.9,169.0,385660.0,27165.0,14.75,10.33,10.24,14.99,1.73,4.51,207.76,0.74
2003-03-01,105.131878911565,83.875,48.8385,153.10480294,63.8412698412698,30.1680952380952,55.9,175.0,364520.0,27611.0,17.11,11.86,11.82,12.34,0.46,3.88,236.61,0.45
2003-04-01,105.338093367347,82.625,49.2071428571429,149.04484859,63.5378787878788,25.035,55.9,179.0,353520.0,27678.0,21.05,13.13,12.53,9.09,0.2,6.7,188.09,-0.05
2003-05-01,107.906400680272,79.3,58.9933333333334,157.01160684,64.4810606060606,25.7145454545455,56.7,175.0,353660.0,28227.0,16.32,13.87,11.82,7.8,0.56,10.27,137.86,-0.52
2003-06-01,107.02530255102,78.25,64.8055,165.93152604,65.8769841269841,27.5666666666667,56.4,181.0,373200.0,28340.0,20.58,7.31,9.31,8.28,0.68,14.68,91.11,-0.21
2003-07-01,97.6706649659864,81.0,60.8995238095238,152.4088095,67.3876811594203,28.5039130434783,57.1,178.0,371840.0,28524.0,8.2,15.79,11.85,10.52,1.34,20.08,51.53,0.24
2003-08-01,100.349578214286,91.125,56.6876190476191,157.41732098,68.5119047619048,29.7180952380952,57.8,180.0,376900.0,28980.0,0.0,0.0,0.0,0.0,0.0,19.41,62.79,0.2
2003-09-01,103.238455272109,97.0,56.6514285714286,167.16385925,69.2064393939394,27.0440909090909,59.0,190.0,413900.0,28709.0,8.96,13.26,13.33,11.92,1.41,12.54,77.51,0.19
2003-10-01,104.205951552795,98.4,52.5381818181818,165.75456158,68.5760869565217,29.435652173913,60.6,188.0,436540.0,29145.0,13.0,11.36,14.22,12.83,1.85,9.11,117.11,0.38
2003-11-01,108.10048487395,110.75,48.6905555555556,160.81051497,68.3854166666667,28.9485,62.0,194.0,435860.0,29272.0,10.92,12.19,13.36,11.56,2.5,6.6,146.91,0.29
2003-12-01,111.992209586466,105.4,48.6805,166.71868737,68.981884057971,29.7434782608696,62.9,207.0,485900.0,29152.0,9.64,10.97,14.53,10.08,2.49,6.17,173.63,0.38
2004-01-01,116.245588293651,107.06,52.9425,164.66032317,69.6060606060606,30.9818181818182,64.7,211.0,475340.0,29528.0,13.07,9.08,13.41,9.88,2.59,3.66,288.1,0.38
2004-02-01,122.932429135338,99.5,61.0288888888889,163.20628403,71.625,30.795,65.5,212.0,432830.0,29555.0,0.0,0.0,0.0,0.0,0.0,3.23,268.85,0.34
2004-03-01,128.460194875776,97.25,65.3495652173913,160.47081196,73.0869565217391,33.424347826087,67.1,214.0,421340.0,29779.0,17.1,8.47,12.27,9.3,1.63,4.07,240.83,0.21
2004-04-01,133.439499659864,102.1,65.2845454545455,159.10675012,74.7272727272727,33.3577272727273,67.7,218.0,415620.0,29733.0,15.28,10.82,12.22,9.15,0.9,5.36,176.64,0.16
