Month,None,D0,D1,D2,D3,D4
2025-08-31,49.90,20.91,11.74,11.71,5.49,0.26
2025-07-31,57.92,16.12,10.86,10.31,4.42,0.36
2025-06-30,57.05,15.69,13.90,8.41,4.20,0.75
2025-05-31,58.08,17.12,11.33,7.58,4.60,1.30
2025-04-30,52.60,16.43,14.63,8.50,6.10,1.73
2025-03-31,42.64,21.11,18.54,10.79,5.51,1.41
2025-02-28,42.57,22.63,20.28,8.57,5.40,0.55
2025-01-31,41.98,22.55,20.77,8.89,5.26,0.55
2024-12-31,43.15,25.17,19.71,8.14,3.50,0.46
2024-11-30,40.09,23.34,22.96,9.73,3.38,0.50
2024-10-31,26.82,27.95,22.19,17.59,4.92,0.53
2024-09-30,40.28,33.36,18.58,5.49,1.86,0.41
2024-08-31,44.68,30.04,18.09,5.28,1.63,0.28
2024-07-31,58.39,24.69,12.17,3.61,1.09,0.06
2024-06-30,58.57,25.62,12.64,2.37,0.79,0.01
2024-05-31,77.43,12.06,6.97,2.94,0.55,0.05
2024-04-30,68.30,17.38,9.49,4.12,0.66,0.05
2024-03-31,65.40,19.35,10.62,3.64,0.87,0.12
2024-02-29,60.51,21.36,11.61,5.27,1.13,0.12
2024-01-31,62.81,17.44,10.74,7.08,1.68,0.25
2023-12-31,53.99,18.36,13.76,8.64,4.23,1.01
2023-11-30,53.24,16.55,13.14,10.57,4.75,1.75
2023-10-31,54.27,15.01,13.13,11.03,4.77,1.80
2023-09-30,50.25,16.15,14.30,11.02,5.85,2.44
2023-08-31,56.38,14.94,12.81,9.68,4.92,1.27
2023-07-31,55.80,20.70,14.52,6.87,1.89,0.22
2023-06-30,56.33,21.14,14.70,5.54,1.84,0.45
2023-05-31,58.17,25.97,9.06,4.06,1.70,1.04
2023-04-30,61.64,17.96,10.57,4.69,3.61,1.51
2023-03-31,56.86,19.56,12.39,6.65,2.93,1.60
2023-02-28,54.00,13.88,17.69,9.71,3.42,1.29
2023-01-31,48.44,15.92,17.76,11.67,4.75,1.45
2022-12-31,41.92,19.46,16.72,13.66,6.68,1.55
2022-11-30,33.41,18.50,21.25,15.97,8.54,2.33
2022-10-31,28.75,18.91,22.08,18.27,9.59,2.48
2022-09-30,37.17,21.72,17.76,14.87,8.31,2.14
2022-08-31,45.51,16.33,12.57,14.76,9.23,1.68
2022-07-31,43.27,15.62,12.15,15.09,12.10,3.74
2022-06-30,34.94,22.62,14.89,12.87,11.43,3.23
2022-05-31,48.54,10.14,10.48,14.02,12.21,4.61
2022-04-30,46.05,9.04,11.12,18.33,11.98,3.48
2022-03-31,41.84,9.71,13.98,20.17,12.76,1.55
2022-02-28,38.35,12.06,16.20,22.27,10.13,0.98
2022-01-31,39.49,14.23,15.78,20.29,9.09,1.12
2021-12-31,40.04,14.11,16.51,19.01,9.03,1.30
2021-11-30,42.13,13.15,15.38,14.50,10.40,4.44
2021-10-31,47.46,12.57,12.44,12.51,10.22,4.80
2021-09-30,47.58,12.43,9.42,11.27,13.23,6.06
2021-08-31,53.37,7.60,8.42,10.16,13.78,6.67
